Concurrent task count,Total Fibonacci size,New task start time (relative),Total latency (excluding new task),New task latency,New task Fibonacci size,New task FLOPs,CPU frequency (GHz),Avg task start time,Avg task operations (GFLOPs)
5,170,0.5384,160.6,10.3131,31,2.1783,1.2323,0.1471,11.2394
5,151,0.3411,29.8996,14.3857,35,14.9304,1.2708,0.1096,2.3204
5,147,0.3532,16.9587,3.3158,30,1.3463,1.2458,0.0631,2.139
5,148,0.4813,24.5558,16.7597,35,14.9304,1.2354,0.1294,2.6533
5,146,0.6816,15.0726,1.9853,29,0.832,1.2594,0.1225,1.5127
5,155,0.5334,36.7546,14.862,35,14.9304,1.2555,0.1382,2.5504
5,147,0.3917,16.1436,0.6193,26,0.1964,1.201,0.1075,1.9726
5,145,0.4049,15.7266,6.6502,32,3.5246,1.249,0.081,1.7034
5,155,0.2244,56.7855,5.8797,30,1.3463,1.2334,0.0961,6.5985
5,160,0.337,82.6063,0.5679,27,0.3178,1.2594,0.0901,8.0476
5,147,0.7866,23.4568,9.3611,34,9.2275,1.3938,0.0769,1.8062
5,147,0.5438,23.6178,0.4051,25,0.1214,1.3083,0.1169,4.9587
5,146,0.4596,30.9907,23.2056,35,14.9304,1.2841,0.1004,3.6517
5,169,0.5099,122.5897,10.0425,31,2.1783,1.2594,0.1437,9.3939
5,151,0.3597,49.2512,1.0498,27,0.3178,1.2031,0.1142,6.305
5,161,0.2601,61.0185,8.4787,31,2.1783,1.2323,0.0783,4.8316
5,157,1.2369,32.6822,1.7337,27,0.3178,1.2604,0.1076,3.9602
5,148,0.6838,19.5591,4.39,31,2.1783,1.2198,0.0992,2.2419
5,160,0.2555,75.9002,13.3389,32,3.5246,1.2302,0.1069,5.6
5,135,0.253,6.535,7.9634,35,14.9304,1.2552,0.0965,0.8563
5,144,0.7562,12.0242,5.6427,32,3.5246,1.226,0.1773,3.2946
5,146,0.2978,13.3669,4.2876,31,2.1783,1.2739,0.0939,3.6124
5,152,0.4682,28.1569,1.2884,28,0.5142,1.2302,0.1254,2.8832
5,145,0.2209,14.3569,0.796,26,0.1964,1.201,0.0907,2.7168
5,151,0.4495,41.27,3.4988,30,1.3463,1.2917,0.1366,5.3158
5,162,0.3933,70.054,2.1488,28,0.5142,1.2604,0.1086,7.1127
5,146,0.2954,22.0804,2.8071,30,1.3463,1.2875,0.1012,3.201
5,158,1.9789,48.662,9.8974,32,3.5246,1.2604,0.4268,5.5365
5,139,0.2527,5.1577,0.9654,27,0.3178,1.2302,0.1042,0.9742
5,151,0.4528,18.7709,0.8293,25,0.1214,1.2021,0.1214,2.2812
5,146,0.3561,9.8108,0.7059,26,0.1964,1.2312,0.1084,2.3447
5,146,0.7701,10.2161,0.8135,27,0.3178,1.2354,0.2485,2.384
5,137,0.2768,8.9919,9.3606,35,14.9304,1.299,0.1276,1.3313
5,144,0.4073,10.4787,0.693,25,0.1214,1.2292,0.1035,1.1013
5,144,0.2499,21.0952,10.9965,33,5.7029,1.2552,0.0818,2.4961
5,153,0.4007,39.2677,18.5946,34,9.2275,1.2833,0.1105,3.461
5,152,0.5361,29.0188,12.1104,33,5.7029,1.2822,0.1474,3.0254
5,155,0.297,42.3521,0.9731,28,0.5142,1.2573,0.1084,5.4579
5,158,0.6462,40.3562,0.4226,25,0.1214,1.2438,0.141,4.9344
5,149,0.3932,13.6802,0.3446,25,0.1214,1.2781,0.0901,3.6517
5,153,0.3572,49.6875,19.3464,34,9.2275,1.2603,0.0954,5.1644
5,146,0.7395,15.9804,7.1879,33,5.7029,1.2786,0.2126,1.4098
5,136,0.494,4.4668,0.8802,27,0.3178,1.2531,0.191,0.4842
5,147,0.3109,16.8822,5.8131,32,3.5246,1.2687,0.0846,1.1406
5,155,0.2558,35.649,0.7099,26,0.1964,1.2844,0.1042,5.4094
5,138,0.3582,2.535,0.1977,25,0.1214,1.2437,0.1374,1.3463
5,143,0.4441,5.658,2.5202,30,1.3463,1.3094,0.1695,1.1163
5,156,0.5545,44.7549,18.3414,34,9.2275,1.2948,0.0954,4.3566
5,138,0.247,4.3014,1.4317,29,0.832,1.2823,0.0935,2.0119
5,163,1.2043,78.0012,3.9097,31,2.1783,1.2427,0.1511,7.2791
5,146,0.6728,12.5498,0.3253,26,0.1964,1.2917,0.1874,1.9333
5,148,0.618,23.4219,10.9219,33,5.7029,1.2832,0.1492,2.2176
5,140,0.2169,6.5081,2.1332,29,0.832,1.2146,0.0836,0.7685
5,162,0.6145,74.0765,10.5562,32,3.5246,1.2302,0.2421,7.1127
5,158,0.5048,37.9156,3.3251,29,0.832,1.201,0.1436,3.9602
5,155,0.2872,39.7941,13.3574,33,5.7029,1.2636,0.1128,3.3582
5,150,0.5931,32.5768,17.7699,35,14.9304,1.251,0.1978,2.9618
5,148,0.4751,24.6634,10.4385,33,5.7029,1.2271,0.1018,3.9452
5,145,0.6296,12.7646,1.4555,28,0.5142,1.2885,0.1347,1.4341
5,152,0.5594,28.1058,5.5044,30,1.3463,1.2312,0.1622,2.7168
5,157,0.5648,43.6297,0.687,27,0.3178,1.2021,0.1079,5.3065
5,157,0.6017,33.229,2.1315,28,0.5142,1.2292,0.1442,3.5246
5,153,0.6705,29.2952,4.3915,30,1.3463,1.2302,0.1785,4.4987
5,139,0.3167,12.4301,8.4332,33,5.7029,1.2333,0.0892,3.1768
5,144,0.2309,13.0315,0.7223,26,0.1964,1.2396,0.091,3.7938
5,149,0.441,15.7745,0.6731,27,0.3178,1.2271,0.1697,3.7303
5,143,0.2599,19.2314,1.5812,29,0.832,1.25,0.0954,3.0739
5,150,0.4459,18.4532,0.7044,27,0.3178,1.2761,0.1209,1.8062
5,142,0.28,8.2014,1.1291,26,0.1964,1.2594,0.1147,0.8956
5,148,0.6043,25.9614,5.4291,31,2.1783,1.3,0.1136,3.2403
5,144,0.3118,14.9741,8.594,33,5.7029,1.225,0.082,3.3824
