Concurrent task count,Total Fibonacci size,New task start time (relative),Total latency (excluding new task),New task latency,New task Fibonacci size,New task FLOPs,CPU frequency (GHz),Task start times,Task operations (FLOPs)
8,233,0.8589,61.9896,22.3094,35,14.9304,1.4284,"[0.0003, 0.0357, 0.0785, 0.1091, 0.2412, 0.2922, 0.4136, 0.5153]","[9.2275, 0.1964, 2.1783, 0.3178, 2.1783, 0.1214, 9.2275, 0.1214]"
8,230,0.6877,25.9827,2.0613,29,0.832,1.5209,"[0.0003, 0.0416, 0.0874, 0.1282, 0.205, 0.2867, 0.348, 0.454]","[0.3178, 0.832, 3.5246, 0.1964, 0.832, 0.1214, 0.832, 5.7029]"
8,239,0.7444,73.2443,3.2751,29,0.832,1.3561,"[0.0003, 0.0475, 0.0932, 0.1391, 0.1805, 0.2569, 0.4686, 0.6613]","[3.5246, 1.3463, 0.1214, 0.1214, 0.1214, 9.2275, 14.9304, 5.7029]"
8,238,0.903,52.9257,15.0764,33,5.7029,1.5255,"[0.0003, 0.0264, 0.2397, 0.3129, 0.3693, 0.452, 0.4782, 0.7634]","[0.3178, 0.3178, 14.9304, 2.1783, 2.1783, 0.1214, 5.7029, 0.832]"
8,243,1.1051,59.9124,1.4204,27,0.3178,1.428,"[0.0003, 0.0317, 0.0876, 0.1436, 0.2858, 0.6112, 1.0114, 1.0738]","[0.832, 9.2275, 14.9304, 1.3463, 0.1964, 0.3178, 2.1783, 2.1783]"
8,232,0.786,40.6512,1.5637,28,0.5142,1.4323,"[0.0003, 0.0295, 0.1058, 0.2952, 0.4042, 0.5289, 0.576, 0.7051]","[0.3178, 14.9304, 0.1964, 0.1214, 9.2275, 2.1783, 0.3178, 0.3178]"
8,252,1.2222,114.1291,11.797,32,3.5246,1.4355,"[0.0003, 0.024, 0.0698, 0.1206, 0.1717, 0.5374, 0.7254, 0.8927]","[14.9304, 9.2275, 0.5142, 3.5246, 0.3178, 14.9304, 0.832, 3.5246]"
8,229,0.5116,27.3734,4.1233,30,1.3463,1.4237,"[0.0003, 0.0312, 0.0872, 0.1535, 0.2471, 0.298, 0.3716, 0.4187]","[0.3178, 0.1214, 0.1964, 0.832, 0.5142, 0.3178, 5.7029, 9.2275]"
8,241,1.1951,53.4344,2.0681,28,0.5142,1.3924,"[0.0003, 0.0362, 0.1148, 0.1606, 0.3336, 0.4809, 0.5672, 0.7245]","[2.1783, 2.1783, 3.5246, 1.3463, 2.1783, 0.5142, 1.3463, 0.5142]"
8,234,1.1764,36.8309,1.8005,27,0.3178,1.4024,"[0.0003, 0.0319, 0.1178, 0.265, 0.5626, 0.6386, 0.8371, 1.0046]","[5.7029, 2.1783, 14.9304, 0.1214, 2.1783, 0.3178, 0.1964, 0.1964]"
8,253,0.8625,124.9721,14.3145,31,2.1783,1.3465,"[0.0003, 0.0273, 0.0681, 0.1494, 0.312, 0.4898, 0.5372, 0.687]","[5.7029, 5.7029, 1.3463, 5.7029, 3.5246, 3.5246, 0.3178, 5.7029]"
8,232,0.5805,33.489,8.392,32,3.5246,1.3646,"[0.0003, 0.0422, 0.0931, 0.2609, 0.3012, 0.3977, 0.4395, 0.4788]","[2.1783, 1.3463, 0.1964, 1.3463, 0.3178, 0.832, 0.1964, 5.7029]"
8,235,1.0153,28.3721,0.3075,26,0.1964,1.4874,"[0.0003, 0.0366, 0.2247, 0.2857, 0.4995, 0.5814, 0.7034, 0.8557]","[9.2275, 0.5142, 0.3178, 0.1964, 0.832, 0.5142, 3.5246, 2.1783]"
8,257,1.4256,202.3676,0.5924,25,0.1214,1.3957,"[0.0003, 0.0247, 0.0553, 0.1061, 0.1976, 0.2979, 0.5599, 1.1798]","[9.2275, 0.3178, 14.9304, 0.1964, 9.2275, 2.1783, 14.9304, 14.9304]"
8,236,0.8094,51.6487,18.5665,35,14.9304,1.3524,"[0.0003, 0.0318, 0.0928, 0.1437, 0.1947, 0.3013, 0.4236, 0.6219]","[2.1783, 9.2275, 1.3463, 0.832, 0.1214, 2.1783, 0.1214, 2.1783]"
8,256,1.1315,169.2082,7.9482,30,1.3463,1.3957,"[0.0003, 0.049, 0.0949, 0.3084, 0.4762, 0.5185, 0.69, 0.8726]","[9.2275, 9.2275, 0.3178, 0.5142, 9.2275, 14.9304, 0.832, 14.9304]"
8,250,0.5467,101.5496,1.5968,28,0.5142,1.3243,"[0.0003, 0.0255, 0.0866, 0.1087, 0.1563, 0.2274, 0.3239, 0.5122]","[9.2275, 0.5142, 0.5142, 0.5142, 3.5246, 5.7029, 5.7029, 9.2275]"
8,246,0.8456,88.8163,0.7514,26,0.1964,1.341,"[0.0003, 0.0233, 0.0742, 0.1656, 0.2728, 0.2984, 0.5476, 0.6854]","[0.5142, 0.3178, 3.5246, 14.9304, 14.9304, 2.1783, 0.1964, 3.5246]"
8,246,1.0398,74.0998,16.9238,33,5.7029,1.4076,"[0.0003, 0.0384, 0.1147, 0.191, 0.2877, 0.542, 0.5879, 0.8625]","[5.7029, 14.9304, 3.5246, 0.5142, 0.5142, 1.3463, 2.1783, 0.832]"
8,242,0.7824,67.2694,4.8774,31,2.1783,1.4306,"[0.0003, 0.0461, 0.1019, 0.1731, 0.2081, 0.3148, 0.5643, 0.7577]","[0.5142, 2.1783, 5.7029, 0.5142, 5.7029, 0.1964, 2.1783, 3.5246]"
8,235,0.6801,33.5273,0.4642,25,0.1214,1.5696,"[0.0002, 0.0337, 0.072, 0.0975, 0.1636, 0.2702, 0.4733, 0.5179]","[0.3178, 0.3178, 0.1964, 9.2275, 0.1214, 9.2275, 2.1783, 2.1783]"
8,245,0.468,105.5943,13.3899,32,3.5246,1.4911,"[0.0003, 0.0285, 0.0946, 0.17, 0.2014, 0.2473, 0.3143, 0.3858]","[0.1964, 0.1214, 1.3463, 5.7029, 9.2275, 9.2275, 9.2275, 0.832]"
8,236,0.8808,40.1264,17.9492,35,14.9304,1.4355,"[0.0003, 0.0396, 0.0717, 0.1429, 0.2139, 0.3764, 0.5227, 0.8112]","[3.5246, 9.2275, 1.3463, 0.1964, 0.832, 0.1214, 0.5142, 3.5246]"
8,242,1.0533,71.2524,0.4447,27,0.3178,1.4356,"[0.0003, 0.0371, 0.0626, 0.1236, 0.322, 0.5759, 0.6031, 0.7387]","[0.5142, 14.9304, 9.2275, 5.7029, 0.5142, 0.3178, 3.5246, 0.1214]"
8,242,0.9733,66.3629,15.1087,33,5.7029,1.622,"[0.0003, 0.0496, 0.118, 0.1587, 0.2, 0.3195, 0.6149, 0.8618]","[0.3178, 3.5246, 0.832, 5.7029, 3.5246, 5.7029, 0.1214, 2.1783]"
