Task ID,Task Number,Fibonacci Size,Relative Start Time (s),Task Latency (s),CPU Freq (GHz),FLOPs
45-3,8,26,0.072932,0.613765,1.3082184062500002,196417
45-7,8,25,0.647294,0.328664,1.3479856770833336,121392
45-2,8,27,0.022033,0.459182,1.3886267916666672,317810
45-6,8,29,0.48661,3.549589,1.3312393229166666,832039
45-5,8,31,0.256227,7.929056,1.4130924479166662,2178308
45-4,8,32,0.159423,10.750285,1.4399044583333334,3524577
45-8,8,35,0.926423,19.509637,1.3501530104166666,14930351
45-9,8,34,0.981339,18.142893,1.4596192083333333,9227464
46-8,8,32,0.828687,2.448324,1.50210590625,3524577
46-1,8,26,0.000211,0.083145,1.4369625625000002,196417
46-4,8,30,0.129416,3.359906,1.565420072916667,1346268
46-7,8,29,0.628744,2.045226,1.5278715000000003,832039
46-6,8,28,0.267138,1.760075,1.526502177083333,514228
46-9,8,26,0.895854,1.158983,1.5622137604166664,196417
46-2,8,27,0.030777,0.673916,1.4202069479166668,317810
46-5,8,28,0.175449,1.981236,1.4901359895833333,514228
46-3,8,28,0.076496,2.021011,1.4475209895833332,514228
47-3,8,32,0.074294,5.344267,1.4635369895833334,3524577
47-5,8,25,0.18905,0.11174,1.4950722916666666,121392
47-6,8,26,0.346781,1.029714,1.4502721979166664,196417
47-2,8,28,0.033536,1.236361,1.4220160937499997,514228
47-4,8,26,0.092336,0.630119,1.4261294375,196417
47-8,8,28,0.789575,1.833592,1.4017030937500004,514228
47-1,8,29,0.000242,2.883203,1.4230615729166667,832039
47-9,8,28,0.83037,2.118988,1.4267279062499996,514228
47-7,8,31,0.742998,4.521704,1.4797923437499996,2178308
48-6,8,25,0.395234,1.353878,1.3901343229166672,121392
48-3,8,28,0.090229,2.263344,1.4776186562499998,514228
48-9,8,29,0.872908,3.42726,1.3802921145833331,832039
48-7,8,29,0.466341,5.192879,1.3350709479166667,832039
48-8,8,29,0.654688,5.516416,1.4912381562500001,832039
48-5,8,31,0.268099,7.242384,1.4385179479166665,2178308
48-4,8,32,0.13099,10.665805,1.4030709062500002,3524577
48-2,8,35,0.034221,19.213927,1.4407064374999998,14930351
48-1,8,35,0.000291,20.524782,1.5107326666666667,14930351
49-1,8,26,0.000262,0.069995,1.5209234583333335,196417
49-4,8,28,0.168708,1.16447,1.4196921562500002,514228
49-5,8,25,0.370323,0.541337,1.3787558125000003,121392
49-7,8,26,0.777873,0.77076,1.3534232395833334,196417
49-3,8,28,0.090986,1.830578,1.3463576770833336,514228
49-6,8,27,0.58949,1.340093,1.408269979166667,317810
49-9,8,34,0.874167,8.849591,1.4375176666666674,9227464
49-2,8,32,0.036023,7.38945,1.4140553229166664,3524577
49-8,8,32,0.848537,7.32015,1.4381223437500004,3524577
50-1,8,25,0.00021,0.036132,1.4037017083333332,121392
50-8,8,29,0.574829,2.607011,1.3576834583333333,832039
50-5,8,25,0.190752,0.327381,1.4964766875000002,121392
50-6,8,25,0.364135,0.402716,1.490236572916667,121392
50-7,8,26,0.538878,0.443555,1.4981625104166667,196417
50-3,8,29,0.072964,3.139344,1.3606648020833334,832039
50-9,8,33,0.752924,8.75235,1.400660385416667,5702886
50-4,8,32,0.11942,7.302066,1.4379334062500002,3524577
50-2,8,35,0.036966,11.299646,1.6427420520833331,14930351
51-4,8,30,0.160998,4.592995,1.45586,1346268
51-6,8,27,0.537178,1.612985,1.5471893437499995,317810
51-7,8,33,0.887637,10.913978,1.5424063854166663,5702886
